,Cities,Cloudiness,Humidity,Latitude,Temperature,Wind Speed
0,bluff,0,22,-23.58,70.14,4.83
1,san quintin,75,94,17.54,82.4,9.17
2,fukue,75,70,35.03,87.8,4.7
3,rikitea,56,100,-23.12,73.65,14.45
4,tiznit,0,95,29.7,67.44,2.93
5,necochea,8,97,-38.55,38.91,12.66
6,jamestown,36,60,-33.21,54.75,14.34
7,lindi,0,78,-10.0,66.27,6.29
8,kahului,40,65,20.89,80.53,16.11
9,tacoronte,44,93,28.48,65.71,20.8
10,barrow,44,90,-38.31,38.37,12.66
11,saint-philippe,1,53,45.36,74.66,4.7
12,biloela,0,51,-24.4,64.65,4.38
13,gigmoto,48,97,13.78,84.09,21.5
14,teya,75,55,21.05,87.8,6.93
15,fairbanks,1,34,64.84,79.97,3.36
16,hilo,75,74,19.71,74.03,12.75
17,zelenoborskiy,36,57,66.84,70.23,6.4
18,beyneu,0,42,45.32,83.28,8.75
19,portland,1,30,45.52,80.08,9.17
20,busselton,32,100,-33.64,61.77,30.56
21,butaritari,88,100,3.07,85.44,5.61
22,chokurdakh,0,80,70.62,47.91,11.77
23,vestmannaeyjar,92,100,63.44,48.9,10.42
24,new norfolk,0,61,-42.78,48.2,6.93
25,kavaratti,80,96,10.57,82.83,25.64
26,laguna,20,34,27.52,96.8,10.29
27,klaksvik,76,100,62.23,51.8,4.7
28,port alfred,0,64,-33.59,66.0,11.99
29,albany,75,47,42.65,71.1,4.7
30,mulege,0,54,26.88,87.51,1.92
31,metro,20,81,-5.11,84.9,4.38
32,punta arenas,40,100,-53.16,32.0,12.75
33,moindou,75,57,-21.69,75.2,11.41
34,upernavik,20,98,72.79,39.27,8.52
35,yellowknife,75,53,62.45,71.6,19.46
36,ushuaia,40,64,-54.81,33.8,6.93
37,bandarbeyla,0,80,9.49,76.44,25.64
38,puerto ayora,44,100,-0.74,71.76,15.79
39,san juan,20,78,18.47,82.4,11.41
40,torbay,90,56,47.66,68.0,12.75
41,ancud,8,90,-41.87,35.67,5.73
42,leninskoye,75,93,54.82,51.8,4.47
43,rehoboth,0,65,-23.31,42.33,8.97
44,swan hill,48,93,-35.34,52.59,11.99
45,atuona,36,100,-9.8,80.04,21.27
46,bethel,75,60,60.79,69.8,8.05
47,cidreira,0,92,-30.17,42.6,3.38
48,dogondoutchi,0,91,13.64,71.49,6.62
49,uruzgan,12,38,32.93,67.35,2.71
50,alofi,0,61,-19.06,77.0,13.87
51,port lincoln,92,73,-34.72,61.77,24.29
52,arraial do cabo,12,97,-22.97,70.05,13.56
53,chicama,75,88,-7.84,64.4,6.93
54,nikolskoye,90,93,59.7,66.2,2.24
55,kapaa,40,62,22.08,84.2,17.22
56,norman wells,90,59,65.28,64.4,10.29
57,leningradskiy,44,72,69.38,47.19,6.51
58,makakilo city,40,45,21.35,84.18,9.17
59,isangel,88,100,-19.55,73.65,8.97
60,hermanus,0,50,-34.42,54.84,5.61
61,cumpas,56,76,30.0,74.55,0.36
62,east london,0,96,-33.02,69.15,12.77
63,vaini,92,98,15.34,71.04,8.41
64,ekibastuz,92,100,51.72,56.37,18.59
65,mataura,92,100,-46.19,42.78,17.02
66,dikson,92,100,73.51,43.77,8.19
67,avarua,75,88,-21.21,77.0,4.7
68,tiksi,44,63,71.64,51.96,12.21
69,kyzyl-suu,8,87,42.34,66.45,4.94
70,saint-francois,0,82,46.42,62.6,2.71
71,bredasdorp,0,68,-34.53,62.85,11.99
72,nalut,0,30,31.86,74.64,8.3
73,ambilobe,8,69,-13.19,68.7,9.75
74,saint george,0,73,39.45,69.8,1.48
75,iquitos,40,94,-3.75,75.2,4.72
76,chuy,0,94,-33.69,37.83,3.71
77,ostersund,76,93,63.18,57.2,13.87
78,maksatikha,32,92,57.8,68.52,9.75
79,hobart,0,61,-42.88,48.2,6.93
80,mahon,40,87,51.89,60.8,9.17
81,kruisfontein,0,71,-34.0,59.7,7.18
82,yenagoa,64,96,4.92,72.84,2.93
83,lavrentiya,92,90,65.58,45.03,10.76
84,cayenne,44,100,4.94,73.4,2.24
85,borba,0,88,38.81,60.24,8.3
86,pangnirtung,0,67,66.15,48.27,10.2
87,labytnangi,0,50,66.66,71.49,6.4
88,maceio,20,88,-9.67,69.8,2.24
